問題番号,説明文,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,解答,図ファイル,表ファイル
1,～問1 X 及び Y はそれぞれ 0 又は 1 の値をとる変数である。X□Y を X と Y の論理演算と したとき，次の真理値表が得られた。X□Yの真理値表はどれか。 X Y X AND ( X□Y ) X OR ( X□Y) 0 0 0 1 0 1 0 1 1 0 0 1 1 1 1 1,X  Y  X□Y,"X  Y  X□Y 
   
    0  0  0        0  0  0 
    0  1  0        0  1  1 
    1  0  0        1  0  0 
    1  1  1        1  1  1",X  Y  X□Y,X  Y  X□Y,ウ,q1_page0.png,q1_table_0_0.csv;q1_table_1_0.csv;q1_table_1_1.csv;q1_table_1_2.csv;q1_table_1_3.csv;q1_table_1_4.csv
2,キーが小文字のアルファベット 1 文字（a，b，…，z のいずれか）であるデータを， 大きさが 10 のハッシュ表に格納する。ハッシュ関数として，アルファベットの ASCII コードを 10 進表記法で表したときの 1 の位の数を用いることにする。衝突が 起こるキーの組合せはどれか。ASCII コードでは，昇順に連続した 2 進数が，アルフ ァベット順にコードとして割り当てられている。,aとi,bとr,cとl,dとx,エ,q2_page1.png,q2_table_1_0.csv;q2_table_1_1.csv;q2_table_1_2.csv;q2_table_1_3.csv;q2_table_1_4.csv
3,図に示す構成で，表に示すようにキャッシュメモリと主記憶のアクセス時間だけが 異なり，他の条件は同じ2種類のCPU XとYがある。 あるプログラムを CPU X と Y とでそれぞれ実行したところ，両者の処理時間が等 しかった。このとき，キャッシュメモリのヒット率は幾らか。ここで，CPU 以外の処 理による影響はないものとする。 CPU 表 アクセス時間 キャッシュ 主記憶 単位 ナノ秒 メモリ CPU X CPU Y 256kバイト 256Mバイト キャッシュメモリ 40 20 主記憶 400 580 図 構成,0.75,0.90,0.95,0.96,イ,q3_page2.png,q3_table_2_0.csv
4,"あるシステムの今年度のMTBFは3,000時間，MTTRは1,000時間である。翌年度は MTBFについて今年度の20％分の改善，MTTRについて今年度の10％分の改善を図ると， 翌年度の稼働率は何％になるか。",69,73,77,80,エ,q4_page2.png,q4_table_2_0.csv
5,複数のWebサービスの入出力処理を連結させて新たなサービスを提供する，“ロジ ックマッシュアップ”の例はどれか。,"利用者が選択した飲食店情報のページを表示する際に，他のWebサービスが提供
する地図コンテンツをアクセスマップとして表示する。","利用者が選択した投資商品の情報を表示する際に，関連する経済指標のデータを
複数のWebサービスから取得し，グラフに加工して表示する。","利用者が入力した予算の範囲で宿泊可能な施設のリストを他のWebサービスから
取得し，それらの宿泊施設の空室状況を別のWebサービスから取得して表示する。",利用者がマウスのドラッグで地図を操作した際に，Web ページ全体ではなく一部,ウ,q5_page3.png,
6,液晶ディスプレイなどの表示装置において，傾いた直線の境界を滑らかに表示する 手法はどれか。,アンチエイリアシング,シェーディング,テクスチャマッピング,バンプマッピング,ア,q6_page3.png,
7,DBMSに実装すべき原子性（atomicity）を説明したものはどれか。,同一データベースに対する同一処理は，何度実行しても結果は同じである。,"トランザクション完了後にハードウェア障害が発生しても，更新されたデータベ
ースの内容は保証される。","トランザクション内の処理は，全てが実行されるか，全てが取り消されるかのい
ずれかである。",一つのトランザクションの処理結果は，他のトランザクション処理の影響を受け,ウ,q7_page3.png,
8,LAN間接続装置に関する記述のうち，適切なものはどれか。,"ゲートウェイは，OSI 基本参照モデルにおける第 1 ～3 層だけのプロトコルを変
   
換する。",ブリッジは，IPアドレスを基にしてフレームを中継する。,"リピータは，同種のセグメント間で信号を増幅することによって伝送距離を延長
する。",ルータは，MACアドレスを基にしてフレームを中継する。,ウ,q8_page4.png,
9,ペネトレーションテストに該当するものはどれか。,"検査対象の実行プログラムの設計書，ソースコードに着目し，開発プロセスの各
工程にセキュリティ上の問題がないかどうかをツールや目視で確認する。","公開Webサーバの各コンテンツファイルのハッシュ値を管理し，定期的に各ファ
イルから生成したハッシュ値と一致するかどうかを確認する。 
ぜい","公開Webサーバや組織のネットワークの脆弱性を探索し，サーバに実際に侵入で
きるかどうかを確認する。",内部ネットワークのサーバやネットワーク機器の IPFIX 情報から，各 PC の通信,ウ,q9_page4.png,
10,SQLインジェクションの対策として，有効なものはどれか。,"URL をWeb ページに出力するときは，“http://”や“https://”で始まる URL だ
けを許可する。",外部からのパラメータでWebサーバ内のファイル名を直接指定しない。,スタイルシートを任意のWebサイトから取り込めるようにしない。,プレースホルダを使って命令文を組み立てる。,エ,q10_page4.png,
11,階層構造のモジュール群から成るソフトウェアの結合テストを，上位のモジュール から行う。この場合に使用する，下位のモジュールの代替となるテスト用のモジュー ルはどれか。,エミュレータ,シミュレータ,スタブ,ドライバ,ウ,q11_page5.png,
12,アジャイル開発手法の一つであるスクラムで定義され，スプリントで実施するイベ ントのうち，毎日決まった時間に決まった場所で行い，開発チームの全員が前回から の進捗状況や今後の作業計画を共有するものはどれか。,スプリントプランニング,スプリントレトロスペクティブ,スプリントレビュー,デイリースクラム,エ,q12_page5.png,
13,アローダイアグラムで表されるプロジェクトは，完了までに最少で何日を要するか。 E B 5 40 A C F H 30 30 25 30 D G 20 30 凡例 作業名 所要日数 ：ダミー作業,105,115,120,125,ウ,q13_page5.png,
14,システムの開発部門と運用部門が別々に組織化されているとき，システム開発を伴 う新規サービスの設計及び移行を円滑かつ効果的に進めるための方法のうち，適切な ものはどれか。,"運用テストの完了後に，開発部門がシステム仕様と運用方法を運用部門に説明す
る。",運用テストは，開発部門の支援を受けずに，運用部門だけで実施する。,運用部門からもシステムの運用に関わる要件の抽出に積極的に参加する。,開発部門は運用テストを実施して，運用マニュアルを作成し，運用部門に引き渡,ウ,q14_page6.png,
15,ビッグデータ分析の前段階として，非構造化データを構造化データに加工する処理 を記述している事例はどれか。,"関係データベースに蓄積された大量の財務データから必要な条件に合致するデー
タを抽出し，利用者が扱いやすい表計算ソフトウェアデータに加工する。","個人情報を含むビッグデータを更に利活用するために，特定の個人を識別するこ
とができないように匿名化加工する。","住所データ項目の中にある，“ヶ”と“が”の混在や，丁番地の表記不統一を，
標準化された表記へ統一するために加工する。",ソーシャルメディアの口コミを機械学習によって単語ごとに分解し，要約を作り，,エ,q15_page6.png,
16,コアコンピタンスを説明したものはどれか。,経営活動における基本精神や行動指針,事業戦略の遂行によって達成すべき到達目標,自社を取り巻く環境に関するビジネス上の機会と脅威,他社との競争優位の源泉となる経営資源及び企業能力,エ,q16_page7.png,
17,マーケティング戦略におけるブルーオーシャンの説明として，適切なものはどれか。,競争が存在していない未知の市場,コモディティ化が進んだ既存の市場,新事業のアイディアを実際のビジネスに育成するまでの期間,製品開発したものを市場化する過程に横たわっている障壁,ア,q17_page7.png,
18,HRテックの説明はどれか。,"ICT を活用して，住宅内のエネルギー使用状況の監視，機器の遠隔操作や自動制
御などを可能にし，家庭におけるエネルギー管理を支援するソリューション","既存のビジネスモデルによる業界秩序や既得権益を破壊してしまうほど大きな影
響を与える新しいICTやビジネスモデル","個人の資金に関わる情報を統合的に管理するサービスやマーケットプレイス・レ
ンディングなどの金融サービスを実現するための新しい情報技術",採用，育成，評価，配属などの人事領域の業務を対象に，ビッグデータ解析や,エ,q18_page7.png,
19,図は，製品の製造上のある要因の値xと品質特性の値yとの関係をプロットしたも のである。この図から読み取れることはどれか。 y 0 x,xからyを推定するためには，2次回帰係数の計算が必要である。,xからyを推定するための回帰式は，yからxを推定する回帰式と同じである。,xとyの相関係数は正である。,xとyの相関係数は負である。,エ,q19_page8.png,
20,選択方法 全問必須 注意事項 1. 実際の試験は60問で構成されますが，そのうちの20問を公開しています。 2. 問題に関する質問にはお答えできません。文意どおり解釈してください。 問20 日本において，産業財産権と総称される四つの権利はどれか。,意匠権，実用新案権，商標権，特許権,意匠権，実用新案権，著作権，特許権,意匠権，商標権，著作権，特許権,実用新案権，商標権，著作権，特許権,ア,q20_page0.png,q20_table_0_0.csv
