問題番号,問題文,ア,イ,ウ,エ,答
2,キーが小文字のアルファベット1文字（a〜z）であるデータを大きさ10のハッシュ表に格納する。アルファベットのASCIIコードの1の位をハッシュ値に用いる。衝突が起こるキーの組合せはどれか。,a と i,b と r,c と l,d と x,エ
4,"今年度のMTBFが3,000時間、MTTRが1,000時間のシステム。翌年度にMTBFを20%改善、MTTRを10%改善したときの翌年度の稼働率は何％か。",69,73,77,80,エ
5,複数のWebサービスの入出力処理を連結させて新たなサービスを提供する“ロジックマッシュアップ”の例はどれか。,飲食店ページに地図コンテンツを埋め込む,投資商品ページに経済指標グラフを埋め込む,宿泊施設リストと空室状況を取得して表示する,AJAXで地図をスクロール表示する,ウ
6,液晶ディスプレイで傾いた直線の境界を滑らかに表示する手法はどれか。,アンチエイリアシング,シェーディング,テクスチャマッピング,バンプマッピング,ア
7,DBMSに実装すべき原子性（atomicity）の説明として適切なものはどれか。,同一処理は何度実行しても結果が同じ,トランザクション完了後の障害でも更新は保証される,トランザクションは全て実行されるか全て取り消されるか,トランザクション間は互いの影響を受けない,ウ
8,LAN間接続装置に関する記述のうち適切なものはどれか。,ゲートウェイはOSI第1〜3層だけを変換する,ブリッジはIPアドレスでフレーム中継,リピータは信号を増幅して伝送距離を延長する,ルータはMACアドレスでフレーム中継,ウ
9,ペネトレーションテストに該当するものはどれか。,開発工程をツールや目視で確認する,Webサーバのハッシュ値照合,脆弱性を探索し実際に侵入できるか確認する,IPFIXから通信異常を確認する,ウ
10,SQLインジェクションの対策として有効なものはどれか。,URLスキームを http/https のみ許可,外部パラメータでファイル名を直接指定しない,任意サイトのCSS取り込みを禁止,プレースホルダを使って命令文を組み立てる,エ
11,階層モジュールの結合テストを上位から行う場合に使用する下位モジュール代替のテスト用モジュールはどれか。,エミュレータ,シミュレータ,スタブ,ドライバ,ウ
12,スクラムで毎日行う進捗共有イベントはどれか。,スプリントプランニング,スプリントレトロスペクティブ,スプリントレビュー,デイリースクラム,エ
14,開発部門と運用部門が別組織のとき、新規サービス設計・移行を円滑に進める方法として適切なものはどれか。,運用テスト後に開発部門が仕様説明,運用テストを運用部門のみで実施,運用部門も要件抽出に参加,開発部門が運用テストとマニュアル作成を行う,ウ
15,非構造化データを構造化データに加工する処理の事例はどれか。,大量財務データを表計算用に加工,個人情報を匿名化,住所表記統一,SNS口コミを分解・要約し分析可能データに加工,エ
16,コアコンピタンスを説明したものはどれか。,経営活動の基本精神や行動指針,事業戦略の到達目標,外部環境の機会と脅威,競争優位の源泉となる経営資源・能力,エ
17,ブルーオーシャンの説明として適切なものはどれか。,競争が存在していない未知の市場,コモディティ化が進んだ既存市場,アイデアをビジネスに育てる期間,市場化に横たわる障壁,ア
18,HRテックの説明はどれか。,家庭エネルギー管理ICT,業界秩序を破壊する新ICT,FinTechの資金管理サービス,人事領域でAI・ビッグデータを活用するソリューション,エ
20,産業財産権と総称される四つの権利はどれか。,意匠権，実用新案権，商標権，特許権,意匠権，実用新案権，著作権，特許権,意匠権，商標権，著作権，特許権,実用新案権，商標権，著作権，特許権,ア
